IdLogement,ValeurFonciere,TypeLocal,SurfaceBatie,SurfaceTerrain,NbPieces
l_287,96000.0,Appartement,79,,3
l_288,153500.0,Appartement,67,,4
l_289,35722.61,Appartement,47,,2
l_290,26500.0,Appartement,45,,2
l_291,84000.0,Appartement,119,,4
l_292,71000.0,Appartement,133,,4
l_293,38550.0,Appartement,31,,1
l_294,118500.0,Appartement,66,,3
l_295,196000.0,Appartement,120,,4
l_296,48000.0,Appartement,24,,1
l_297,43000.0,Appartement,33,,1
l_298,29800.0,Appartement,20,,1
l_299,175000.0,Appartement,120,,4
l_300,34000.0,Appartement,20,,1
l_301,40000.0,Appartement,27,,2
l_302,42000.0,Appartement,50,,3
l_303,39735.0,Appartement,26,,1
l_304,105000.0,Appartement,51,,2
l_305,128690.0,Maison,71,,3
l_306,113330.0,Appartement,49,,2
l_307,300000.0,Appartement,32,,2
l_308,77000.0,Appartement,35,,2
l_309,75000.0,Appartement,52,,3
l_310,33880.0,Appartement,25,,1
l_311,42800.0,Appartement,23,,1
l_312,64000.0,Appartement,63,,2
l_313,105375.0,Appartement,33,,2
l_314,40000.0,Appartement,23,,1
l_315,61000.0,Appartement,30,,2
l_316,44585.0,Appartement,29,,1
l_317,67830.0,Appartement,44,,1
l_318,71000.0,Maison,32,,2
l_319,43000.0,Appartement,21,,1
l_320,75000.0,Appartement,147,,5
l_321,113000.0,Appartement,18,,1
l_322,51000.0,Appartement,18,,1
l_323,52800.0,Appartement,30,,1
l_324,57000.0,Appartement,51,,2
l_325,37000.0,Appartement,23,,2
l_326,115000.0,Appartement,80,,3
l_327,160500.0,Appartement,74,,4
l_328,62500.0,Appartement,80,,3
l_329,52500.0,Appartement,85,,2
l_330,66450.35,Appartement,29,,2
l_331,47000.0,Appartement,37,,2
l_332,41000.0,Appartement,17,,1
l_333,150500.0,Maison,79,,5
l_334,201500.0,Appartement,41,,2
l_335,24000.0,Appartement,19,,1
l_336,270200.0,Appartement,98,,4
l_337,128014.89,Appartement,60,,3
l_338,90000.0,Appartement,42,,2
l_339,68730.0,Appartement,27,,1
l_340,63500.0,Appartement,27,,1
l_341,19000.0,Appartement,20,,1
l_342,44000.0,Appartement,60,,2
l_343,37000.0,Appartement,35,,3
l_344,67500.0,Maison,29,,1
l_345,76600.0,Appartement,84,,5
l_346,52300.0,Appartement,29,,2
l_347,40000.0,Appartement,38,,1
l_348,80000.0,Appartement,44,,2
l_349,62000.0,Appartement,87,,4
l_350,146200.0,Maison,66,,2
l_351,61500.0,Appartement,27,,1
l_352,88000.0,Appartement,68,,3
l_353,33000.0,Appartement,36,,1
l_354,77000.0,Appartement,30,,2
l_355,58000.0,Appartement,68,,3
l_356,230000.0,Appartement,100,,4
l_357,75000.0,Appartement,25,,1
l_358,135700.0,Appartement,81,,4
l_359,76000.0,Appartement,24,,1
l_360,61400.0,Appartement,31,,1
l_361,44000.0,Appartement,51,,2
l_362,69300.0,Appartement,24,,1
l_363,41500.0,Appartement,36,,2
l_364,230000.0,Appartement,81,,2
l_365,220000.0,Appartement,59,,3
l_366,67560.0,Appartement,28,,1
l_367,39980.0,Appartement,27,,1
l_368,61700.0,Appartement,27,,1
l_369,67500.0,Appartement,27,,1
l_370,70020.0,Appartement,27,,1
l_371,226750.0,Maison,95,,4
l_372,81860.0,Appartement,30,,1
l_373,69450.0,Appartement,60,,2
l_374,83000.0,Appartement,61,,2
l_375,62700.0,Appartement,26,,1
l_376,44000.0,Appartement,18,,1
l_377,43000.0,Appartement,25,,1
l_378,101000.0,Appartement,70,,3
l_379,77000.0,Appartement,54,,3
l_380,70200.0,Appartement,70,,4
l_381,43000.0,Appartement,64,,4
l_382,65000.0,Appartement,54,,3
l_383,47200.0,Appartement,28,,1
l_384,70000.0,Appartement,46,,2
l_385,46890.0,Appartement,23,,1
l_386,54090.0,Appartement,33,,1
l_387,43500.0,Appartement,19,,1
l_388,77400.0,Appartement,61,,2
l_389,128490.0,Appartement,75,,4
l_390,130000.0,Appartement,74,,3
l_391,87000.0,Appartement,82,,4
l_392,155000.0,Maison,93,,4
l_393,19400.0,Appartement,24,,2
l_394,51400.0,Appartement,26,,1
l_395,35000.0,Appartement,54,,4
l_396,110000.0,Appartement,45,,2
l_397,64500.0,Appartement,50,,2
l_398,86000.0,Appartement,45,,2
l_399,45000.0,Appartement,15,,1
l_400,87000.0,Appartement,50,,2
l_401,111300.0,Appartement,63,,3
l_402,230000.0,Maison,87,,4
l_403,105000.0,Appartement,56,,3
l_404,28500.0,Appartement,52,,2
l_405,27000.0,Appartement,17,,1
l_406,113000.0,Appartement,47,,2
l_407,48700.0,Appartement,26,,2
l_408,29900.0,Appartement,18,,1
l_409,54000.0,Appartement,20,,2
l_410,29500.0,Appartement,39,,1
l_411,46937.0,Appartement,30,,2
l_412,55500.0,Appartement,40,,2
l_413,142500.0,Appartement,110,,5
l_414,35000.0,Appartement,40,,1
l_415,32500.0,Appartement,38,,1
l_416,64050.0,Appartement,53,,2
l_417,60000.0,Appartement,31,,1
l_418,45710.0,Appartement,25,,2
l_419,55500.0,Appartement,38,,3
l_420,35500.0,Appartement,23,,1
l_421,20140.0,Appartement,15,,1
l_422,25650.0,Appartement,18,,1
l_423,126000.0,Appartement,66,,4
l_424,61000.0,Appartement,63,,3
l_425,30500.0,Appartement,20,,1
l_426,80000.0,Maison,63,,3
l_427,28350.0,Appartement,25,,1
l_428,78500.0,Appartement,28,,1
l_429,57950.0,Appartement,29,,1
l_430,55000.0,Maison,32,,2
l_431,63000.0,Appartement,66,,4
l_432,62000.0,Appartement,62,,3
l_433,134300.0,Appartement,75,,3
l_434,56000.0,Appartement,26,,1
l_435,130000.0,Appartement,46,,2
l_436,272000.0,Maison,121,506.0,4
l_437,117000.0,Appartement,38,,2
l_438,206000.0,Appartement,100,,4
l_439,83000.0,Appartement,28,,1
l_440,35000.0,Appartement,25,,1
l_441,300000.0,Maison,248,865.0,8
l_442,33000.0,Appartement,40,,2
l_443,57500.0,Appartement,54,,2
l_444,63000.0,Maison,20,,1
l_445,25000.0,Maison,110,,4
l_446,225500.0,Appartement,114,,5
l_447,55800.0,Appartement,17,,1
l_448,135000.0,Appartement,58,,3
l_449,64000.0,Appartement,39,,1
l_450,95000.0,Maison,49,,2
l_451,135000.0,Appartement,116,,5
l_452,90000.0,Appartement,68,,4
l_453,75000.0,Appartement,46,,2
l_454,49000.0,Appartement,29,,1
l_455,41500.0,Appartement,22,,1
l_456,41080.0,Appartement,22,,1
l_457,,Appartement,17,,1
l_458,310000.0,Appartement,65,,4
l_459,159550.0,Appartement,63,,4
l_460,150000.0,Appartement,43,,2
l_461,165500.0,Appartement,70,,3
l_462,67200.0,Appartement,52,,3
l_463,230000.0,Appartement,35,,1
l_464,220000.0,Maison,47,285.0,4
l_465,53320.0,Appartement,26,,1
l_466,110000.0,Appartement,38,,2
l_467,238000.0,Appartement,82,,6
l_468,55000.0,Appartement,35,,2
l_469,76000.0,Appartement,35,,2
l_470,53260.0,Appartement,29,,2
l_471,120250.0,Appartement,32,,2
l_472,119390.0,Appartement,65,,3
l_473,117110.0,Appartement,78,,4
l_474,85000.0,Appartement,40,,2
l_475,140150.0,Appartement,85,,3
l_476,113000.0,Appartement,61,,2
l_477,26630.0,Appartement,25,,1
l_478,64000.0,Appartement,40,,1
l_479,56900.0,Appartement,24,,1
l_480,114275.0,Appartement,66,,4
l_481,123000.0,Appartement,63,,3
l_482,75000.0,Appartement,63,,3
l_483,98000.0,Appartement,39,,2
l_484,43000.0,Appartement,40,,2
l_485,30250.0,Appartement,17,,1
l_486,50740.0,Appartement,26,,1
l_487,146192.0,Maison,69,,3
l_488,40000.0,Appartement,21,,1
l_489,80000.0,Appartement,45,,2
l_490,65000.0,Appartement,56,,3
l_491,112000.0,Appartement,43,,3
l_492,85000.0,Appartement,32,,2
l_493,47000.0,Appartement,14,,1
l_494,67340.0,Appartement,24,,1
l_495,65500.0,Appartement,30,,2
l_496,125000.0,Appartement,66,,2
l_497,153240.0,Appartement,61,,3
l_498,23000.0,Appartement,16,,1
l_499,107871.0,Appartement,28,,1
l_500,33000.0,Appartement,25,,1
l_501,34500.0,Appartement,25,,1
l_502,30000.0,Appartement,25,,1
l_503,21000.0,Appartement,17,,1
l_504,187000.0,Appartement,122,,5
l_505,51300.0,Appartement,30,,2
l_506,50000.0,Appartement,30,,2
l_507,45500.0,Appartement,33,,2
l_508,59800.0,Appartement,30,,1
l_509,75000.0,Appartement,29,,2
l_510,32000.0,Appartement,31,,1
l_511,36100.0,Appartement,37,,2
l_512,81200.0,Appartement,50,,2
l_513,148000.0,Appartement,69,,2
l_514,46780.0,Appartement,24,,3
l_515,233400.0,Maison,70,,3
l_516,165000.0,Appartement,36,,2
l_517,55000.0,Appartement,30,,2
l_518,125000.0,Appartement,49,,2
l_519,144000.0,Maison,100,,5
l_520,179000.0,Maison,82,,4
l_521,181000.0,Appartement,44,,2
l_522,278800.0,Appartement,126,,4
l_523,220000.0,Appartement,62,,4
l_524,136000.0,Appartement,57,,3
l_525,85000.0,Appartement,28,,2
l_526,39000.0,Appartement,18,,1
l_527,19800.0,Appartement,53,,4
l_528,202000.0,Appartement,66,,3
l_529,44600.0,Appartement,22,,2
l_530,39000.0,Appartement,17,,1
l_531,212000.0,Appartement,100,,4
l_532,152600.0,Appartement,61,,3
l_533,66500.0,Appartement,27,,1
l_534,69000.0,Appartement,27,,1
l_535,51500.0,Appartement,19,,1
l_536,141500.0,Appartement,39,,3
l_537,153000.0,Appartement,35,,2
l_538,85700.0,Appartement,45,,2
l_539,19000.0,Appartement,16,,1
l_540,190000.0,Appartement,51,,2
l_541,202100.0,Appartement,40,,3
l_542,64600.0,Appartement,31,,1
l_543,90250.0,Appartement,28,,1
l_544,616900.0,Appartement,98,,4
l_545,212550.0,Appartement,95,,3
l_546,692000.0,Appartement,126,,5
l_547,229500.0,Appartement,82,,3
l_548,191500.0,Appartement,72,,4
l_549,140650.0,Appartement,19,,1
l_550,228500.0,Appartement,58,,2
l_551,112070.0,Appartement,18,,1
l_552,212200.0,Appartement,33,,2
l_553,195500.0,Appartement,46,,2
l_554,158525.0,Appartement,33,,1
l_555,171700.0,Appartement,36,,2
l_556,340750.0,Appartement,36,,3
l_557,179000.0,Appartement,41,,2
l_558,121300.0,Appartement,15,,1
l_559,317800.0,Appartement,68,,3
l_560,262089.0,Appartement,33,,2
l_561,314600.0,Appartement,70,,3
l_562,767000.0,Appartement,111,,4
l_563,116260.0,Appartement,22,,1
l_564,414000.0,Appartement,80,,4
l_565,413826.0,Appartement,62,,2
l_566,327500.0,Appartement,113,,5
l_567,643815.0,Appartement,144,,4
l_568,652000.0,Appartement,130,,4
l_569,113700.0,Appartement,28,,1
l_570,1320000.0,Appartement,95,,3
l_571,483314.0,Appartement,76,,2
l_572,178140.0,Appartement,20,,1
l_573,118110.0,Appartement,42,,1
l_574,622850.0,Appartement,91,,3
l_575,137009.0,Appartement,20,,1
l_576,114500.0,Appartement,33,,2
l_577,50925.0,Appartement,16,,1
l_578,1852500.0,Appartement,158,,5
l_579,233470.0,Appartement,34,,1
l_580,151500.0,Appartement,46,,3
l_581,117800.0,Appartement,17,,1
l_582,1022000.0,Appartement,127,,4
l_583,200150.0,Appartement,55,,3
l_584,121900.0,Appartement,40,,2
l_585,294000.0,Maison,83,,3
l_586,301150.0,Appartement,87,,3
l_587,78500.0,Appartement,22,,1
l_588,376150.0,Appartement,75,,3
l_589,199500.0,Appartement,34,,2
l_590,149870.0,Appartement,45,,4
l_591,107600.0,Appartement,36,,2
l_592,228800.0,Appartement,86,,4
l_593,151592.0,Appartement,36,,1
l_594,417000.0,Appartement,71,,5
l_595,130940.0,Appartement,23,,1
l_596,397400.0,Appartement,44,,2
l_597,77000.0,Appartement,25,,2
l_598,291550.0,Appartement,66,,4
l_599,262580.0,Appartement,75,,3
l_600,1196000.0,Appartement,130,,5
l_601,325100.0,Appartement,81,,3
l_602,148113.0,Appartement,55,,2
l_603,142000.0,Appartement,36,,2
l_604,175000.0,Appartement,52,,2
l_605,194460.0,Appartement,30,,2
l_606,254280.0,Appartement,30,,2
l_607,167960.0,Appartement,33,,2
l_608,274102.0,Appartement,42,,3
l_609,205250.0,Appartement,95,,3
l_610,149450.0,Appartement,35,,2
l_611,121700.0,Appartement,31,,2
l_612,136500.0,Appartement,34,,2
l_613,211500.0,Appartement,52,,2
l_614,143000.0,Appartement,33,,1
l_615,43560.0,Appartement,14,,1
l_616,291230.0,Appartement,59,,4
l_617,153600.0,Appartement,30,,1
l_618,409000.0,Appartement,78,,3
l_619,138500.0,Appartement,25,,2
l_620,302200.0,Appartement,56,,2
l_621,234820.0,Appartement,46,,2
l_622,417145.0,Appartement,86,,3
l_623,309800.0,Appartement,61,,3
l_624,1076000.0,Appartement,100,,4
l_625,135500.0,Appartement,25,,1
l_626,144400.0,Appartement,26,,1
l_627,238000.0,Appartement,76,,4
l_628,120625.0,Appartement,26,,1
l_629,194030.0,Appartement,46,,2
l_630,532500.0,Appartement,253,,5
l_631,357100.0,Appartement,35,,3
l_632,168782.9,Appartement,21,,1
l_633,297000.0,Appartement,43,,2
l_634,335300.0,Appartement,57,,4
l_635,208000.0,Appartement,55,,3
l_636,245600.0,Appartement,52,,2
l_637,230000.0,Maison,63,,3
l_638,145825.0,Appartement,68,,3
l_639,141000.0,Appartement,68,,3
l_640,166850.0,Appartement,41,,2
l_641,202500.0,Appartement,46,,2
l_642,377600.0,Appartement,90,,3
l_643,205370.0,Appartement,43,,1
l_644,196600.0,Appartement,51,,2
l_645,302500.0,Appartement,85,,3
l_646,79900.0,Appartement,19,,1
l_647,616000.0,Appartement,209,,7
l_648,1755000.0,Appartement,25,,1
l_649,122500.0,Appartement,25,,1
l_650,299250.0,Appartement,36,,2
l_651,685500.0,Appartement,100,,4
l_652,718626.0,Appartement,118,,4
l_653,251750.0,Appartement,53,,2
l_654,92500.0,Appartement,33,,2
l_655,723000.0,Maison,72,,4
l_656,78850.0,Appartement,19,,1
l_657,72500.0,Appartement,10,,1
l_658,244370.0,Appartement,50,,2
l_659,798000.0,Appartement,90,,3
l_660,308000.0,Appartement,49,,2
l_661,152500.0,Appartement,45,,2
l_662,383450.0,Appartement,63,,2
l_663,525000.0,Appartement,86,,4
l_664,455240.0,Appartement,82,,4
l_665,123900.0,Appartement,36,,2
l_666,133000.0,Appartement,45,,2
l_667,33609.0,Appartement,15,,1
l_668,67991.0,Appartement,15,,1
l_669,319000.0,Appartement,26,,1
l_670,162300.0,Appartement,34,,1
l_671,610000.0,Appartement,120,,4
l_672,120560.0,Appartement,40,,1
l_673,695000.0,Appartement,84,,4
l_674,263500.0,Appartement,51,,2
l_675,378000.0,Appartement,113,,5
l_676,292500.0,Appartement,39,,2
l_677,85100.0,Appartement,30,,2
l_678,165000.0,Appartement,82,,4
l_679,204700.0,Appartement,60,,3
l_680,337000.0,Appartement,88,,4
l_681,266000.0,Appartement,66,,3
l_682,324250.0,Appartement,100,,5
l_683,190450.0,Appartement,56,,3
l_684,455000.0,Appartement,86,,3
l_685,178525.0,Appartement,44,,3
l_686,201400.0,Appartement,60,,3
l_687,208500.0,Appartement,25,,1
l_688,63000.0,Appartement,21,,1
l_689,88550.0,Appartement,33,,1
l_690,228000.0,Appartement,36,,2
l_691,155550.0,Appartement,38,,2
l_692,146430.0,Appartement,41,,2
l_693,196100.0,Appartement,57,,3
l_694,387000.0,Appartement,65,,3
l_695,185000.0,Appartement,66,,3
l_696,261250.0,Appartement,60,,2
l_697,514000.0,Appartement,85,,3
l_698,148750.0,Appartement,35,,3
l_699,74000.0,Appartement,14,,1
l_700,198200.0,Appartement,39,,2
l_701,935000.0,Appartement,153,,5
l_702,81300.0,Appartement,17,,1
l_703,156250.0,Appartement,20,,1
l_704,74400.0,Appartement,32,,1
l_705,780000.0,Appartement,30,,1
l_706,352960.0,Appartement,91,,4
l_707,287000.0,Appartement,85,,4
l_708,159200.0,Appartement,64,,3
l_709,279000.0,Appartement,57,,4
l_710,370545.0,Appartement,73,,2
l_711,422000.0,Appartement,44,,3
l_712,193700.0,Appartement,33,,2
l_713,539280.0,Appartement,127,,5
l_714,321175.0,Appartement,55,,3
l_715,809000.0,Appartement,141,,3
l_716,167500.0,Appartement,34,,2
l_717,232180.0,Appartement,53,,2
l_718,212700.0,Appartement,32,,2
l_719,166500.0,Appartement,32,,2
l_720,272600.0,Appartement,46,,2
l_721,169600.0,Appartement,69,,2
l_722,102800.0,Appartement,34,,1
l_723,810000.0,Appartement,150,,4
l_724,294975.0,Appartement,40,,1
l_725,860000.0,Appartement,61,,3
l_726,219990.0,Appartement,85,,3
l_727,215200.0,Appartement,55,,2
l_728,365580.0,Appartement,68,,4
l_729,450000.0,Maison,87,,4
l_730,675000.0,Appartement,120,,5
l_731,189400.0,Appartement,57,,2
l_732,186600.0,Appartement,47,,2
l_733,148900.0,Appartement,59,,3
