IdAdresse,NumVoie,BTQ,CodeVoie,CodeCommune
a_197,13.0,,2860,408
a_198,15.0,,400,408
a_201,27.0,,350,408
a_202,9001.0,,1333,408
a_203,27.0,,1334,408
a_204,10.0,,1700,408
a_205,32.0,,1590,408
a_207,1.0,,1930,408
a_208,30.0,,39,755
a_209,1.0,,190,173
a_211,30.0,,2620,408
a_212,16.0,,130,680
a_213,108.0,,2555,738
a_217,9003.0,,78,318
a_218,4.0,,540,408
a_219,21.0,,45,408
a_220,3.0,,360,408
a_222,2.0,,5210,691
a_223,1.0,,2920,691
a_224,23.0,,2670,691
a_225,15.0,,5500,691
a_226,2.0,,800,722
a_227,36.0,,110,226
a_228,12.0,,1660,722
a_229,2.0,,1130,722
a_230,2.0,B,1082,722
a_231,1.0,,2180,722
a_232,18.0,,1830,722
a_233,1.0,,115,795
a_234,7.0,,50,795
a_235,,,B054,810
a_236,19.0,,6,410
a_237,3.0,,615,810
a_238,18.0,,330,722
a_239,3.0,,1910,722
a_240,14.0,,1760,722
a_241,2.0,,A040,537
a_242,8.0,,270,758
a_243,2.0,,70,810
a_244,10.0,,1192,722
a_245,1.0,B,950,722
a_246,15.0,B,330,722
a_247,20.0,,1490,722
a_248,17.0,,20,810
a_249,5.0,A,40,201
a_250,5.0,,170,810
a_251,2.0,B,760,722
a_253,4.0,,1192,722
a_254,16.0,,360,64
a_255,12.0,,2210,722
a_256,4.0,,1122,722
a_257,3.0,B,1760,722
a_259,30.0,,890,722
a_260,9.0,,710,810
a_261,41.0,,302,810
a_262,7.0,,1540,722
a_265,5.0,D,40,201
a_268,22.0,,1130,722
a_269,12.0,,814,168
a_270,3.0,,640,168
a_271,50.0,,590,168
a_272,1.0,,A047,168
a_273,2.0,,160,305
a_274,22.0,,950,190
a_275,2.0,,720,190
a_278,14.0,,459,190
a_279,4.0,,A063,321
a_280,11.0,,2170,190
a_281,16.0,,1320,321
a_282,84.0,,990,321
a_283,3.0,,865,321
a_284,24.0,,1010,190
a_285,1.0,B,815,95
a_286,71.0,,1710,310
a_287,2.0,,2160,310
a_288,2.0,,2290,310
a_289,10.0,,1040,310
a_290,4.0,,1600,310
a_291,9003.0,,720,209
a_292,7102.0,,88,166
a_293,7003.0,,A009,73
a_294,9500.0,,182,49
a_295,1.0,,1090,70
a_296,7066.0,,B052,126
a_297,9002.0,,440,209
a_298,7192.0,,B029,6
a_299,,,9,39
a_300,7078.0,,4,96
a_301,7037.0,,B091,102
a_302,6.0,,24,205
a_303,7034.0,,B001,6
a_304,25.0,,680,70
a_305,20.0,,1670,70
a_306,7002.0,,B052,126
a_307,7042.0,,B030,176
a_308,7398.0,,B138,6
a_309,24.0,,A001,86
a_310,7052.0,,A004,73
a_311,12.0,,50,19
a_312,25.0,,1,96
a_313,7300.0,,45,94
a_314,39.0,,1690,70
a_315,9482.0,,A247,70
a_316,32.0,,1690,70
a_317,5081.0,,B073,73
a_318,26.0,,B033,189
a_319,7178.0,,B081,6
a_320,2.0,B,21,145
a_321,7153.0,,B081,94
a_322,5112.0,,A008,73
a_323,4.0,,1001,70
a_324,5230.0,,B073,73
a_326,6.0,,75,245
a_327,7096.0,,B007,88
a_328,3.0,,1360,209
a_329,53.0,,420,209
a_330,7023.0,,B023,203
a_331,7052.0,,B009,6
a_332,181.0,,82,112
a_333,5.0,,700,88
a_334,7218.0,,B063,6
a_335,320.0,,103,112
a_336,6.0,,60,19
a_337,155.0,,330,88
a_338,5637.0,A,265,94
a_339,7054.0,,B029,6
a_340,3.0,,230,166
a_341,118.0,,1220,209
a_342,1.0,,265,88
a_343,9002.0,D,A023,112
a_344,,,A029,226
a_345,5038.0,,B117,139
a_346,9.0,,570,209
a_347,7089.0,,B083,205
a_348,5154.0,,2,151
a_349,7215.0,,B110,6
a_350,3.0,,520,70
a_351,1.0,,335,143
a_353,14.0,,855,112
a_354,5028.0,,250,94
a_355,36.0,,810,70
a_356,117.0,,265,94
a_357,9001.0,,A031,112
a_358,20.0,,720,88
a_359,7224.0,,B081,94
a_360,,,A050,226
a_361,7009.0,,B001,6
a_362,,,A045,226
a_363,7215.0,,B052,126
a_364,7113.0,,B080,205
a_365,7024.0,,B081,94
a_366,7023.0,,B081,94
a_367,3.0,,903,88
a_368,,,A023,94
a_369,20.0,,855,112
a_371,7102.0,,10,79
a_372,5038.0,,B161,94
a_373,29.0,,150,39
a_374,,,A019,226
a_375,5177.0,,30,242
a_376,9013.0,,730,112
a_377,11.0,,1000,70
a_378,9001.0,,A003,112
a_379,7028.0,,B078,96
a_381,8.0,,49,96
a_382,5.0,B,1605,70
a_383,,,A004,226
a_384,5004.0,,2,230
a_385,30.0,,80,209
a_386,15.0,,35,70
a_387,40.0,,793,209
a_388,4.0,,35,112
a_389,42.0,,685,49
a_390,7091.0,,B019,205
a_391,7263.0,,A028,6
a_392,28.0,,870,70
a_393,,,A022,226
a_394,16.0,,1340,88
a_395,9491.0,,470,49
a_396,20.0,,255,244
a_397,7.0,,240,19
a_398,12.0,,682,88
a_399,156.0,,317,197
a_401,3.0,,1060,88
a_402,16.0,,60,112
a_403,7197.0,,A025,6
a_404,10.0,,700,88
a_405,7089.0,,456,19
a_406,7199.0,,B106,6
a_407,7.0,,745,70
a_408,7464.0,,B094,205
a_409,8.0,,423,19
a_410,5249.0,,14,178
a_411,5031.0,,B058,69
a_412,5169.0,,B078,22
a_413,30.0,,175,112
a_414,,,A044,226
a_415,7076.0,,A010,73
a_418,7112.0,,B009,6
a_419,3.0,,530,19
a_420,9001.0,,A030,112
a_421,70.0,,525,112
a_423,35.0,,140,39
a_424,5135.0,,73,96
a_425,,,A039,226
a_426,7037.0,,B116,94
a_427,,,A038,226
a_428,28.0,,B033,189
a_429,8.0,,1655,70
a_430,103.0,,710,70
a_431,53.0,,280,112
a_432,7073.0,,B081,6
a_433,3.0,,550,19
a_435,6103.0,,B049,230
a_436,7245.0,,B168,94
a_438,22.0,,418,143
a_439,7149.0,,70,94
a_440,7321.0,,B106,6
a_441,9005.0,,984,112
a_442,5525.0,,24,205
a_443,13.0,,1420,70
a_444,44.0,,B033,189
a_445,36.0,,870,70
a_446,16.0,,A014,242
a_447,5041.0,B,B116,94
a_448,,,A032,226
a_449,4.0,,X023,112
a_451,5029.0,,22,79
a_452,9018.0,,790,209
a_453,6374.0,,B069,70
a_454,5403.0,,B050,153
a_455,5141.0,,B004,84
a_456,5360.0,,32,177
a_457,2.0,,11,46
a_458,5132.0,,B130,156
a_459,5258.0,,92,177
a_460,9218.0,,B268,23
a_461,5318.0,,B202,96
a_462,5246.0,,3,177
a_463,5498.0,,64,101
a_464,5721.0,,27,6
a_466,38.0,,331,23
a_467,9.0,,550,23
a_468,25.0,,610,23
a_469,6.0,,1750,61
a_470,5255.0,,B322,139
a_471,5001.0,A,B019,64
a_472,11.0,B,610,23
a_473,5183.0,,B001,1
a_474,36.0,,650,61
a_475,5449.0,,A030,161
a_476,6.0,,114,179
a_477,21.0,,400,23
a_478,9000.0,,240,4
a_479,7.0,,10,23
a_480,5359.0,,B202,96
a_481,5243.0,,B142,98
a_482,9.0,,480,166
a_483,5287.0,,B023,119
a_484,8.0,,374,23
a_485,6459.0,,B022,40
a_486,5290.0,,B022,110
a_487,4.0,,2280,61
a_488,17.0,,149,132
a_489,16.0,,23,46
a_490,2.0,,1200,61
a_491,5316.0,,B235,93
a_492,5732.0,,B134,161
a_493,5162.0,,A100,139
a_494,2.0,,610,23
a_495,44.0,,1071,61
a_497,5381.0,,B202,96
a_498,5809.0,,B419,79
a_499,5141.0,,B014,139
a_500,44.0,,882,17
a_501,5398.0,,B230,139
a_502,5316.0,,B202,96
a_503,30.0,B,2240,61
a_504,5095.0,,B280,139
a_505,33.0,,80,179
a_506,5216.0,,B021,166
a_508,5041.0,,41,65
a_509,5336.0,,B202,96
a_510,5293.0,,B114,110
a_511,5830.0,,B030,40
a_512,5000.0,,B322,139
a_513,5277.0,,B112,98
a_515,9001.0,B,1393,61
a_516,9007.0,,18,40
a_517,9006.0,,127,132
a_518,5496.0,,B072,101
a_519,5212.0,,B101,164
a_520,5100.0,A,B028,85
a_521,51.0,,A037,164
a_523,5220.0,,B322,139
a_524,5324.0,,B056,177
a_525,5139.0,,B041,72
a_527,9190.0,3,18,23
a_528,5076.0,A,B120,110
a_529,5271.0,A,B029,110
a_530,5162.0,G,B022,111
a_531,5979.0,F,140,46
a_532,5170.0,,B113,98
a_533,5165.0,,B107,98
a_535,5240.0,,B023,119
a_536,5644.0,,B095,119
a_537,6051.0,,B193,139
a_538,1.0,,820,61
a_539,5338.0,,24,153
a_540,5337.0,,B107,133
a_541,63.0,,368,161
a_542,5244.0,,B113,98
a_543,5725.0,,B134,161
a_544,8.0,,5600,88
a_545,27.0,,3535,88
a_546,20.0,B,3975,88
a_547,98.0,,4685,88
a_548,,,3535,88
a_549,31.0,,3235,88
a_550,34.0,,1000,88
a_551,17.0,,2985,88
a_552,10.0,,1805,88
a_553,23.0,,405,88
a_554,43.0,B,6285,88
a_555,29.0,,6715,88
a_556,140.0,,28,114
a_557,52.0,,4035,88
a_558,4.0,,6575,88
a_559,54.0,,5435,88
a_560,34.0,,6285,88
a_561,18.0,,2505,88
a_562,65.0,,2870,88
a_563,2.0,T,6275,88
a_564,9.0,,4020,88
a_565,4.0,,3970,88
a_566,4.0,,1410,88
a_567,9013.0,,B025,88
a_568,5.0,,1286,88
a_569,57.0,,4350,88
a_570,84.0,,4020,88
a_571,40.0,,6285,88
a_572,26.0,,465,88
a_573,4.0,,610,88
a_574,3.0,,1920,88
a_575,12.0,,1180,88
a_576,25.0,,780,88
a_577,3.0,,4585,88
a_578,6.0,,780,88
a_579,33.0,,390,88
a_580,9.0,,6620,88
a_581,20.0,,1785,88
a_582,152.0,,1265,88
a_583,3.0,,4090,88
a_584,8.0,,485,149
a_585,21.0,,6635,88
a_586,1.0,,3472,88
a_587,31.0,,2950,88
a_588,46.0,,455,88
a_589,29.0,,4915,88
a_590,5.0,,2828,88
a_591,12.0,,1440,88
a_592,14.0,,4120,88
a_593,12.0,,2295,88
a_594,10.0,,6620,88
a_595,9.0,,3080,88
a_596,10.0,,80,149
a_597,48.0,,2680,88
a_598,35.0,,3475,88
a_599,40.0,,6655,88
a_600,31.0,,3615,88
a_601,21.0,,1820,88
a_602,16.0,,200,149
a_603,7.0,,70,149
a_604,99.0,,3240,88
a_605,1.0,,4447,88
a_606,3.0,,555,88
a_607,20.0,,60,88
a_608,14.0,,6455,88
a_609,39.0,,2950,88
a_610,12.0,,4310,88
a_611,12.0,,10,88
a_612,39.0,,3475,88
a_613,6.0,,6065,88
a_614,45.0,,6235,88
a_615,1.0,,5485,88
a_616,98.0,,6575,88
a_617,20.0,,6705,88
a_618,45.0,,5600,88
a_619,19.0,B,2610,88
a_620,116.0,,1265,88
a_621,14.0,,1180,88
a_622,23.0,,365,149
a_623,16.0,,5383,88
a_624,7.0,,5975,88
a_625,24.0,,445,88
a_626,14.0,T,910,88
a_627,5.0,,3115,88
a_628,11.0,B,2610,88
a_629,39.0,,885,88
a_630,53.0,,220,114
a_631,24.0,,1885,88
a_633,7.0,,759,149
a_634,29.0,,350,149
a_635,18.0,,5485,88
a_636,43.0,,3372,88
a_637,44.0,,2755,88
a_638,32.0,,6620,88
a_639,7.0,,6245,88
a_640,19.0,,290,88
a_641,33.0,,6290,88
a_642,25.0,,1915,88
a_643,8.0,,1760,88
a_644,10.0,,2102,88
a_645,17.0,,4940,88
a_646,5.0,,850,88
a_647,132.0,,950,88
a_648,37.0,,2880,88
a_649,190.0,,6480,88
a_650,14.0,,5205,88
a_651,23.0,,2910,88
a_652,2.0,,4805,88
a_653,63.0,,5600,88
a_654,16.0,,2785,88
a_655,8.0,,5805,88
a_656,10.0,,3573,88
a_657,32.0,,3255,88
a_658,39.0,,4020,88
a_659,15.0,,405,88
a_660,8.0,,6255,88
a_661,11.0,,630,149
a_662,15.0,,5240,88
a_664,3.0,,1655,88
a_665,41.0,,1470,88
a_666,2.0,,5195,88
a_667,5.0,T,4275,88
a_668,22.0,,2102,88
a_669,2.0,,2280,88
a_670,50.0,,390,88
a_671,13.0,,3970,88
a_672,240.0,,103,60
a_673,15.0,,5460,88
a_674,17.0,,5640,88
a_676,20.0,,360,88
a_677,45.0,,6285,88
a_678,25.0,,5570,88
a_679,38.0,,6620,88
a_680,6.0,,5420,88
a_681,9.0,B,2295,88
a_682,42.0,,885,88
a_683,9.0,,4025,88
a_684,25.0,,6455,88
a_685,3.0,,6490,88
a_686,1.0,,1865,88
a_687,54.0,,456,88
a_688,30.0,,2970,88
a_689,1.0,,3810,88
a_690,19.0,,350,149
a_691,49.0,,2828,88
a_692,8.0,,3090,88
a_693,2.0,,2510,88
a_694,15.0,,715,88
a_695,30.0,,2828,88
a_696,18.0,,790,88
a_697,28.0,,2895,88
a_698,22.0,T,2102,88
a_699,167.0,,4025,88
a_700,1.0,,6665,88
a_701,10.0,,790,88
a_702,109.0,,28,114
a_703,36.0,,6480,88
a_705,18.0,,3000,88
a_706,30.0,,3090,88
a_707,12.0,,3160,88
a_708,6.0,,3535,88
a_709,13.0,,1130,88
a_710,4.0,,5635,88
a_711,1.0,,3697,88
a_712,8.0,,5485,88
a_713,14.0,,3975,88
a_714,3.0,,2495,88
a_715,9002.0,,A100,88
a_716,11.0,,6455,88
a_717,9.0,,1970,88
a_719,71.0,,1410,88
a_720,7.0,,1760,88
a_721,21.0,,2610,88
a_722,19.0,,5345,88
a_723,54.0,,2828,88
a_724,3.0,,3505,88
a_725,5221.0,,B033,60
a_726,22.0,,3255,88
a_727,7.0,,6710,88
a_728,2.0,,625,88
a_729,11.0,,A040,88
a_730,10.0,,4015,88
a_731,1.0,,402,149
a_732,21.0,,2295,88
a_733,21.0,,5435,88
a_734,6.0,,2625,88
a_735,54.0,,2595,88
a_736,78.0,,2828,88
a_737,10.0,,2125,88
a_738,1.0,,1360,88
a_739,6.0,,27,88
a_741,15.0,,860,149
a_742,3.0,,1590,88
a_743,136.0,,2755,88
a_744,7.0,,790,88
a_745,7.0,,280,88
a_746,3.0,,4085,88
a_748,16.0,,4525,88
a_749,4.0,,4680,88
a_750,37.0,,4850,88
a_752,32.0,,2102,88
a_753,93.0,,5471,88
a_754,9.0,,6770,88
a_756,10.0,,1010,88
a_757,4.0,,4015,88
a_758,10.0,,1655,88
a_759,24.0,,3579,88
a_760,21.0,,5420,88
a_761,1.0,,6005,88
a_762,74.0,,950,88
a_763,5.0,,80,149
a_764,39.0,,240,88
a_765,55.0,,1000,88
a_766,46.0,,2950,88
a_767,19.0,,1275,88
a_768,2.0,,558,88
a_769,6.0,,305,149
a_770,3.0,,2740,88
a_771,65.0,,3820,88
a_772,127.0,,240,88
a_773,4.0,,1810,88
a_774,179.0,,1715,88
a_775,27.0,,1790,88
a_776,8.0,,2955,88
a_777,116.0,,1805,88
a_778,266.0,B,6035,88
a_779,29.0,,660,88
a_780,12.0,,3730,88
a_781,30.0,,1365,88
a_782,5.0,,1005,88
a_783,77.0,,5690,88
a_784,137.0,,3550,88
a_785,65.0,,2755,88
a_786,222.0,,4965,88
a_787,175.0,,3820,88
a_788,39.0,,1045,88
a_789,60.0,,615,88
a_790,3.0,,3820,88
a_791,211.0,B,240,88
a_792,109.0,,1265,88
a_793,20.0,B,4390,88
a_794,352.0,,2370,88
a_795,31.0,,925,88
a_796,35.0,,1140,88
a_797,25.0,,2675,88
a_798,28.0,,925,88
a_799,22.0,,3943,88
a_800,67.0,,6227,88
a_801,17.0,,2460,88
a_802,40.0,,5645,88
a_803,85.0,,3820,88
a_804,23.0,,1005,88
a_805,13.0,,1715,88
a_806,4.0,,3470,88
a_807,149.0,,2755,88
a_808,104.0,,2188,88
a_809,70.0,,900,88
a_810,230.0,B,2370,88
a_811,341.0,,2942,88
a_812,3.0,,3730,88
a_813,81.0,B,2755,88
a_814,18.0,,2810,88
a_815,15.0,B,1365,88
a_816,24.0,,5225,88
a_817,79.0,,3943,88
a_818,5.0,,1790,88
a_819,54.0,,900,88
a_820,96.0,,1715,88
a_821,59.0,,745,88
a_822,164.0,,3820,88
a_823,107.0,,2630,88
a_824,384.0,,2370,88
a_825,22.0,T,6485,88
a_826,4.0,,5895,88
a_827,128.0,,3820,88
a_828,93.0,,240,88
a_829,128.0,,3550,88
a_830,48.0,A,3020,88
a_831,12.0,,2810,88
a_834,21.0,,4050,88
a_835,245.0,,745,88
a_836,21.0,,2370,88
a_837,61.0,,6035,88
a_838,20.0,,1355,88
a_839,73.0,,6364,88
a_840,259.0,,4965,88
a_841,121.0,B,4483,88
a_842,13.0,,5525,88
a_843,22.0,,925,88
a_844,280.0,B,1045,88
a_845,61.0,,1715,88
a_846,146.0,,4483,88
a_847,79.0,,5690,88
a_848,210.0,,2370,88
a_849,52.0,,1045,88
a_850,75.0,,5357,88
a_851,12.0,,3740,88
a_852,380.0,,2370,88
a_854,21.0,,2885,88
a_855,13.0,,4975,88
a_856,396.0,,4965,88
a_857,51.0,,1715,88
a_858,156.0,A,4576,88
a_859,186.0,,2370,88
a_860,32.0,,3323,88
a_861,25.0,,3478,88
a_862,7.0,,3210,88
a_863,136.0,,1805,88
a_864,230.0,,1045,88
a_865,67.0,,2325,88
a_866,27.0,,6035,88
a_867,173.0,,5910,88
a_868,209.0,,745,88
a_869,66.0,,3820,88
a_870,156.0,,4576,88
a_871,300.0,,2942,88
a_872,25.0,,267,88
a_873,81.0,,1715,88
a_874,54.0,,3220,88
a_876,19.0,,1365,88
a_877,30.0,,2370,88
a_878,55.0,,3217,88
a_880,54.0,,5380,88
a_881,104.0,,3545,88
a_882,35.0,,5385,88
a_883,83.0,,3820,88
a_884,234.0,,3550,88
a_886,308.0,,3820,88
a_887,26.0,,900,88
a_888,8.0,B,2955,88
a_890,23.0,,2705,88
a_891,103.0,,3820,88
a_892,19.0,,5815,88
a_893,171.0,,2595,88
a_894,54.0,,1070,88
a_895,13.0,,94,88
a_896,101.0,,1045,88
a_898,19.0,,6513,88
a_901,3.0,,2955,88
a_902,48.0,,1045,88
a_903,18.0,,5225,88
a_904,1.0,,2150,88
a_905,52.0,,3217,88
a_906,158.0,,2595,88
a_907,160.0,,2595,88
a_909,52.0,,1140,88
a_910,285.0,,2370,88
a_912,10.0,,235,88
a_913,186.0,,4965,88
a_914,50.0,,1040,88
a_915,90.0,,458,88
a_916,209.0,,2370,88
a_918,97.0,,3357,88
a_919,26.0,,615,88
a_920,220.0,,3820,88
a_921,51.0,,4425,88
a_922,20.0,,6485,88
a_923,117.0,,1045,88
a_925,188.0,,2370,88
a_926,71.0,,4965,88
a_927,7.0,,3374,88
a_928,82.0,,3852,88
a_931,23.0,,3734,88
a_933,22.0,,3358,88
a_934,132.0,,2595,88
a_935,6.0,,3470,88
a_936,301.0,,3887,88
a_937,103.0,,1805,88
a_938,103.0,,2755,88
a_939,26.0,B,4425,88
a_942,18.0,,2460,88
a_944,27.0,,925,88
a_945,135.0,,2595,88
a_947,17.0,,660,88
a_948,8.0,,745,88
a_949,30.0,,900,88
a_950,252.0,,3550,88
a_951,260.0,,2370,88
a_953,170.0,,4483,88
a_954,13.0,,4740,88
a_955,200.0,,1045,88
a_956,649.0,,1356,83
a_957,51.0,,515,83
a_958,2.0,B,845,104
a_959,9.0,,150,83
a_960,47.0,,270,12
a_961,30.0,,725,83
a_962,9001.0,,819,83
a_963,55.0,,1360,83
a_964,4.0,,40,12
a_965,1.0,,1085,83
a_967,124.0,,1442,83
a_968,1.0,,530,12
a_969,24.0,,530,12
a_970,3.0,,1140,83
a_971,8.0,,740,104
a_972,36.0,B,540,83
a_973,1.0,,1470,83
a_974,36.0,,311,83
a_975,20.0,,460,104
a_976,30.0,,450,104
a_977,39.0,,1430,83
a_978,14.0,B,1392,83
a_979,16.0,,160,83
a_980,95.0,,1210,104
a_981,173.0,,860,104
a_982,30.0,,40,162
a_983,62.0,,180,132
a_984,3.0,,9,12
a_985,6.0,,240,12
a_986,8.0,,10,163
a_987,13.0,,320,12
a_988,12.0,,720,12
a_989,17.0,,460,104
a_990,165.0,,800,104
a_992,2.0,,100,12
a_993,36.0,,1210,104
a_994,33.0,,481,12
a_995,13.0,,1370,83
a_996,306.0,,1130,104
a_997,9.0,,1150,104
a_998,1.0,,950,83
a_999,7.0,,890,83
a_1001,14.0,,760,136
a_1002,20.0,,100,83
a_1003,2.0,,1400,83
a_1004,19.0,,560,12
a_1005,44.0,B,300,163
a_1006,179.0,,360,163
a_1007,108.0,,B057,83
a_1008,7.0,,90,83
a_1009,22.0,,530,12
a_1010,33.0,,400,12
a_1011,2.0,A,400,12
a_1012,139.0,,1145,104
a_1013,2.0,B,40,35
a_1014,71.0,,1360,83
a_1015,1.0,,570,12
a_1016,44.0,,595,104
a_1017,6.0,,150,12
a_1018,22.0,,932,83
a_1019,51.0,B,957,104
a_1020,1.0,B,790,83
a_1021,28.0,,1140,83
a_1022,197.0,,770,104
a_1023,68.0,,48,36
a_1024,4.0,,470,83
a_1025,4.0,B,420,83
a_1026,11.0,,20,12
a_1027,46.0,,1442,83
a_1028,210.0,,800,104
a_1029,801.0,,1190,104
a_1030,2.0,,40,12
a_1031,11.0,,1100,83
a_1032,13.0,,515,83
a_1033,15.0,,171,104
a_1034,6.0,,105,67
a_1035,8.0,,760,12
a_1036,53.0,,260,132
a_1037,129.0,,775,104
a_1038,8.0,,60,86
a_1041,61.0,,515,83
a_1042,242.0,,80,104
a_1043,14.0,,500,12
a_1044,28.0,,810,104
a_1045,39.0,,11,83
a_1046,20.0,,260,132
a_1047,3.0,,670,83
a_1048,2.0,T,845,104
a_1049,1000.0,A,1115,104
a_1050,3.0,,100,35
a_1051,5.0,,969,83
a_1052,242.0,,330,83
a_1053,24.0,,311,83
a_1054,60.0,,270,12
a_1055,70.0,,640,83
a_1056,9.0,,310,12
a_1057,14.0,,80,12
a_1058,9.0,,450,104
a_1059,1.0,,252,12
a_1060,115.0,A,50,104
a_1061,39.0,,957,104
a_1062,32.0,,860,83
a_1063,16.0,,810,104
a_1064,100.0,,50,83
a_1065,525.0,,905,104
a_1066,58.0,,11,83
a_1067,5185.0,A,5,163
a_1068,129.0,,860,83
a_1069,8.0,,750,83
a_1070,17.0,,1220,83
a_1071,213.0,,80,104
a_1073,14.0,,800,83
a_1075,22.0,,1500,83
a_1076,9.0,,1280,83
a_1077,13.0,,460,104
a_1078,129.0,,1145,104
a_1079,1.0,,120,136
a_1080,71.0,,340,83
a_1081,628.0,,538,12
a_1083,33.0,,311,83
a_1084,12.0,,1530,83
a_1086,10.0,,1354,83
a_1087,5039.0,,B151,23
a_1088,4.0,,955,83
a_1089,6.0,,932,83
a_1090,60.0,,11,83
a_1091,149.0,,1145,104
a_1094,583.0,,1130,104
a_1095,72.0,B,50,83
